Date,NIFTY50_Index,Log_Return_pct,Realized_Vol,GARCH_Forecast_Vol,GARCHX_Forecast_Vol,Sentiment_Raw,Sentiment_Rolled,Sentiment_Lagged,Has_Real_News,Sentiment_Label,Position_Size,Strategy_Return,Benchmark_Return,Strategy_Value,Benchmark_Value,High_Vol_Flag,Risk_Regime
2022-02-21,1823.2537399999997,-0.008113961546565965,1.6138120270061833,1.8831548172772075,1.8831548172772075,0.00425617303699255,-0.13703933128761867,-0.20502024325679422,1,Negative,0.7,-0.0056797730825961755,-0.008113961546565965,99373.985194003,98161.50077569862,0,Low Risk
2022-02-22,1819.5972382,-0.0020074952557036997,0.3630173859372889,2.0835102514519903,2.0835102514519903,-0.46772338325778645,-0.2483291930149472,-0.13703933128761867,1,Negative,0.0,-0.0014052466789925898,-0.0020074952557036997,99234.34023133088,97964.44202859866,1,High Risk
2022-02-23,1823.5229912,0.002155160561443915,0.38721009434111264,1.851617093012814,1.851617093012814,0.03915517125278711,-0.22817370327455658,-0.2483291930149472,1,Negative,0.7,0.0,0.002155160561443915,99234.34023133088,98175.57113048254,0,Low Risk
2022-02-24,1736.6109878,-0.04883483365243872,2.091707518793287,1.7982523676879898,2.10783267693429,-0.4670670850969413,-0.2651850125935871,-0.22817370327455658,1,Negative,0.0,-0.0341843835567071,-0.04883483365243872,95842.07548286629,93381.18344559227,1,High Risk
2022-02-25,1787.1432365,0.028682881878213738,2.794607594386206,5.429752597610325,5.429752597610325,0.04625776748765598,-0.20208821729260043,-0.2651850125935871,1,Negative,0.0,0.0,0.028682881878213738,95842.07548286629,96059.62490000999,1,High Risk
2022-02-28,1807.06274875,0.011084348687059084,2.882348509791912,3.1862596612355487,2.7798792399757493,0.2549368298866532,0.09960248757880404,0.06379096517170965,1,Neutral,0.3,0.0,0.011084348687059084,95842.07548286629,97124.38327714981,1,High Risk
2022-03-02,1789.0024879999996,-0.010044541134038862,2.906217963775691,1.9987605971880504,2.696087702865875,-0.2426806396494309,0.09762519329448587,0.13788745199480273,1,Neutral,0.3,-0.0030133623402116587,-0.010044541134038862,95553.2685819985,96148.81341420431,1,High Risk
2022-03-03,1773.74051825,-0.00856759136435027,2.8945959789235376,2.187734099739522,2.6153341743560596,0.14418021403253078,0.1849462360272676,0.09762519329448587,1,Positive,0.3,-0.002570277409305081,-0.00856759136435027,95307.67017437694,95325.04967070425,1,High Risk
2022-03-04,1739.95100705,-0.019233647920128213,1.9294181410584477,2.107033489534343,2.532920657665779,0.342185082534949,0.22722156674830946,0.1849462360272676,1,Positive,0.3,-0.005770094376038463,-0.019233647920128213,94757.73592271043,93491.6012273692,1,High Risk
2022-03-07,1686.2184898,-0.03136851414997898,1.5614560391294767,2.8131244983643193,2.8131244983643193,-0.6811465578419822,-0.1398657587794017,-0.006139560532453768,1,Negative,0.0,-0.009410554244993694,-0.03136851414997898,93866.01310867697,90558.90861136427,1,High Risk
2022-03-08,1698.24600375,0.0071075141166127755,1.4206333464085465,3.825261659111882,2.44403749954949,-0.2125898910065492,-0.14170308144522364,-0.1398657587794017,1,Negative,0.0,0.0,0.0071075141166127755,93866.01310867697,91202.55733270459,1,High Risk
2022-03-09,1739.5234925,0.02401526490744034,2.1778680313878276,1.8606198600414179,2.5915717065251127,-0.05003729888371059,-0.11418260419297788,-0.14170308144522364,1,Negative,0.0,0.0,0.02401526490744034,93866.01310867697,93392.8109072855,1,High Risk
2022-03-10,1772.4022460499996,0.01872460674262593,2.4143651121971357,2.8136324578322176,2.8136324578322176,-0.05003729888371059,-0.15724307389722933,-0.11418260419297788,1,Negative,0.0,0.0,0.01872460674262593,93866.01310867697,95141.55456411286,1,High Risk
2022-03-11,1777.7074950499998,0.002988782508786627,2.1671438976741904,2.4304259549752496,2.620028827349606,-0.8072901964187622,-0.3488222870561812,-0.15724307389722933,1,Negative,0.0,0.0,0.002988782508786627,93866.01310867697,95425.91197825284,1,High Risk
2022-03-14,1796.5875077,0.010564426400419769,0.8580114337265199,1.8005240842977521,1.8005240842977521,0.2654886284673756,-0.01410796520035463,-0.17188049625191426,1,Neutral,0.7,0.0,0.010564426400419769,93866.01310867697,96434.03200204004,0,Low Risk
2022-03-15,1788.59949955,-0.004456125358054751,1.1514413148263254,1.9761476472142985,2.342688197498253,-0.4848395437002182,-0.05948290731596614,-0.01410796520035463,1,Neutral,0.0,-0.0031192877506383255,-0.004456125358054751,93573.21800378582,96004.30986665629,1,High Risk
2022-03-16,1824.47926175,0.01986169916092688,1.0377305099458973,1.925110062308731,1.925110062308731,-0.28753355145454407,-0.09906561607777171,-0.05948290731596614,1,Neutral,0.7,0.0,0.01986169916092688,93573.21800378582,97911.11858738022,0,Low Risk
2022-03-17,1863.5764923499999,0.021202876482853673,1.0968222660603277,2.5073983750446023,2.5073983750446023,0.08384800431403247,-0.07293509887894255,-0.09906561607777171,1,Neutral,0.0,0.01484201353799757,0.021202876482853673,94962.03297219201,99987.11594108646,1,High Risk
2022-03-21,1838.9039993,-0.013327745178755606,1.519904132899916,2.6023751739631837,2.449526217488766,-0.09146797135472298,-0.07810029032361974,-0.02710649034903423,1,Neutral,0.0,-0.0,-0.013327745178755606,94962.03297219201,98654.51313866497,1,High Risk
